S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1848,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1049000,-,775,Strata,06 to 10,1354,16-Jul
1849,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1221000,-,947,Strata,06 to 10,1289,16-Jul
1850,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,693000,-,474,Strata,11 to 15,1463,16-Jul
1851,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1115000,-,861,Strata,06 to 10,1295,16-Jul
1852,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1581000,-,1152,Strata,11 to 15,1373,16-Jul
1853,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,979000,-,667,Strata,06 to 10,1467,16-Jul
1854,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1177000,-,904,Strata,01 to 05,1302,16-Jul
1855,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,569000,-,409,Strata,06 to 10,1391,16-Jul
1856,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1088000,-,861,Strata,06 to 10,1263,16-Jul
1857,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,874000,-,667,Strata,01 to 05,1310,16-Jul
1858,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,639000,-,506,Strata,16 to 20,1263,16-Jul
1859,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,904000,-,614,Strata,11 to 15,1473,16-Jul
1860,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,853000,-,614,Strata,11 to 15,1390,16-Jul
1861,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,957000,-,721,Strata,11 to 15,1327,16-Jul
1862,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,836000,-,614,Strata,11 to 15,1363,16-Jul
1863,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1775000,-,1302,Strata,11 to 15,1363,16-Jul
1864,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1593000,-,1152,Strata,11 to 15,1383,16-Jul
1865,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,639000,-,506,Strata,16 to 20,1263,16-Jul
1866,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,861000,-,667,Strata,01 to 05,1290,16-Jul
1867,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,899000,-,614,Strata,06 to 10,1465,16-Jul
1868,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,585000,-,409,Strata,11 to 15,1430,16-Jul
1869,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1014000,-,721,Strata,06 to 10,1406,16-Jul
1870,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1066000,-,775,Strata,11 to 15,1375,16-Jul
1871,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,848000,-,614,Strata,11 to 15,1382,16-Jul
1872,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,651000,-,506,Strata,01 to 05,1287,16-Jul
1873,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1243000,-,947,Strata,11 to 15,1312,16-Jul
1874,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,836000,-,614,Strata,01 to 05,1363,16-Jul
1875,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,988000,-,667,Strata,11 to 15,1480,16-Jul
1876,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1262000,-,904,Strata,06 to 10,1396,16-Jul
1877,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,713000,-,474,Strata,11 to 15,1505,16-Jul
1878,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,997000,-,721,Strata,06 to 10,1382,16-Jul
1879,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1566000,-,1152,Strata,06 to 10,1360,16-Jul
1880,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,699000,-,517,Strata,01 to 05,1353,16-Jul
1881,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1076000,-,861,Strata,01 to 05,1250,16-Jul
1882,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1008000,-,775,Strata,01 to 05,1301,16-Jul
1883,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,672000,-,474,Strata,06 to 10,1419,16-Jul
1884,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,820000,-,614,Strata,06 to 10,1336,16-Jul
1885,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1176000,-,861,Strata,11 to 15,1366,16-Jul
1886,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,559000,-,409,Strata,01 to 05,1367,16-Jul
1887,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,562000,-,409,Strata,06 to 10,1374,16-Jul
1888,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1247000,-,980,Strata,06 to 10,1273,16-Jul
1889,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,654000,-,474,Strata,01 to 05,1381,16-Jul
1890,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,773000,-,517,Strata,11 to 15,1496,16-Jul
1891,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1771000,-,1302,Strata,11 to 15,1360,16-Jul
1892,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1050000,-,721,Strata,11 to 15,1456,16-Jul
1893,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1215000,-,926,Strata,01 to 05,1313,16-Jul
1894,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,996000,-,753,Strata,16 to 20,1322,16-Jul
1895,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,947000,-,624,Strata,11 to 15,1517,16-Jul
1896,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,825000,-,614,Strata,11 to 15,1345,16-Jul
1897,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,752000,-,517,Strata,06 to 10,1455,16-Jul
1898,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,732000,-,517,Strata,11 to 15,1417,16-Jul
1899,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1213000,-,947,Strata,06 to 10,1281,16-Jul
1900,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1323000,-,926,Strata,11 to 15,1429,16-Jul
1901,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,812000,-,614,Strata,01 to 05,1323,16-Jul
1902,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,719000,-,474,Strata,11 to 15,1518,16-Jul
1903,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,699000,-,517,Strata,01 to 05,1353,16-Jul
1904,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1272000,-,904,Strata,06 to 10,1407,16-Jul
1905,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1078000,-,775,Strata,11 to 15,1391,16-Jul
1906,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,804000,-,614,Strata,01 to 05,1310,16-Jul
1907,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1061000,-,775,Strata,11 to 15,1369,16-Jul
1908,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,581000,-,409,Strata,11 to 15,1420,16-Jul
1909,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1343000,-,926,Strata,16 to 20,1451,16-Jul
1910,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,824000,-,614,Strata,06 to 10,1343,16-Jul
1911,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1027000,-,721,Strata,11 to 15,1424,16-Jul
1912,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1122000,-,861,Strata,01 to 05,1303,16-Jul
1913,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,961000,-,721,Strata,01 to 05,1333,16-Jul
1914,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,840000,-,614,Strata,11 to 15,1369,16-Jul
1915,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,748000,-,517,Strata,06 to 10,1448,16-Jul
1916,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,836000,-,614,Strata,01 to 05,1363,16-Jul
1917,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,845000,-,614,Strata,11 to 15,1377,16-Jul
1918,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,706000,-,474,Strata,06 to 10,1491,16-Jul
1919,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,914000,-,624,Strata,06 to 10,1464,16-Jul
1920,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,838000,-,624,Strata,01 to 05,1342,16-Jul
1921,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,793000,-,614,Strata,01 to 05,1292,16-Jul
1922,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,725000,-,517,Strata,06 to 10,1403,16-Jul
1923,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,832000,-,614,Strata,11 to 15,1356,16-Jul
1924,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1180000,-,861,Strata,11 to 15,1370,16-Jul
1925,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1597000,-,1152,Strata,16 to 20,1387,16-Jul
1926,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,929000,-,614,Strata,11 to 15,1514,16-Jul
1927,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1577000,-,1152,Strata,06 to 10,1369,16-Jul
1928,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1043000,-,721,Strata,11 to 15,1446,16-Jul
1929,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1017000,-,721,Strata,06 to 10,1410,16-Jul
1930,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1073000,-,775,Strata,11 to 15,1385,16-Jul
1931,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1239000,-,947,Strata,11 to 15,1308,16-Jul
1932,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,710000,-,517,Strata,06 to 10,1374,16-Jul
1933,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,908000,-,614,Strata,16 to 20,1480,16-Jul
1934,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,865000,-,667,Strata,01 to 05,1296,16-Jul
1935,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,565000,-,409,Strata,06 to 10,1381,16-Jul
1936,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,837000,-,614,Strata,11 to 15,1364,16-Jul
1937,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,698000,-,517,Strata,01 to 05,1351,16-Jul
1938,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,887000,-,624,Strata,06 to 10,1421,16-Jul
1939,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,578000,-,409,Strata,11 to 15,1413,16-Jul
1940,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,965000,-,721,Strata,11 to 15,1338,16-Jul
1941,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,700000,-,474,Strata,06 to 10,1478,16-Jul
1942,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,965000,-,753,Strata,01 to 05,1281,16-Jul
1943,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,941000,-,721,Strata,06 to 10,1305,16-Jul
1944,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,804000,-,614,Strata,01 to 05,1310,16-Jul
1945,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1047000,-,872,Strata,01 to 05,1201,16-Jul
1946,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,857000,-,614,Strata,11 to 15,1397,16-Jul
1947,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,890000,-,624,Strata,06 to 10,1426,16-Jul
1948,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1021000,-,721,Strata,11 to 15,1416,16-Jul
1949,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,653000,-,474,Strata,01 to 05,1379,16-Jul
1950,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,836000,-,614,Strata,11 to 15,1363,16-Jul
1951,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,844000,-,614,Strata,11 to 15,1376,16-Jul
1952,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1057000,-,775,Strata,11 to 15,1364,16-Jul
1953,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1102000,-,861,Strata,06 to 10,1280,16-Jul
1954,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1245000,-,980,Strata,01 to 05,1271,16-Jul
1955,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,808000,-,614,Strata,01 to 05,1317,16-Jul
1956,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1092000,-,861,Strata,06 to 10,1268,16-Jul
1957,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1049000,-,818,Strata,06 to 10,1282,16-Jul
1958,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1316000,-,926,Strata,16 to 20,1422,16-Jul
1959,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1286000,-,926,Strata,06 to 10,1389,16-Jul
1960,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,944000,-,667,Strata,06 to 10,1415,16-Jul
1961,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,956000,-,667,Strata,11 to 15,1432,16-Jul
1962,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,820000,-,614,Strata,01 to 05,1336,16-Jul
1963,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,832000,-,614,Strata,11 to 15,1356,16-Jul
1964,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,668000,-,474,Strata,06 to 10,1410,16-Jul
1965,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1229000,-,980,Strata,06 to 10,1255,16-Jul
1966,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,968000,-,667,Strata,16 to 20,1450,16-Jul
1967,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1234000,-,926,Strata,01 to 05,1333,16-Jul
1968,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,808000,-,614,Strata,01 to 05,1317,16-Jul
1969,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,894000,-,624,Strata,06 to 10,1432,16-Jul
1970,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,749000,-,517,Strata,11 to 15,1450,16-Jul
1971,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1176000,-,904,Strata,01 to 05,1301,16-Jul
1972,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,852000,-,614,Strata,16 to 20,1389,16-Jul
1973,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,941000,-,721,Strata,06 to 10,1305,16-Jul
1974,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1217000,-,947,Strata,06 to 10,1285,16-Jul
1975,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,826000,-,624,Strata,01 to 05,1323,16-Jul
1976,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1053000,-,775,Strata,06 to 10,1359,16-Jul
1977,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,828000,-,614,Strata,06 to 10,1350,16-Jul
1978,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,844000,-,614,Strata,11 to 15,1376,16-Jul
1979,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1035000,-,721,Strata,11 to 15,1435,16-Jul
1980,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,954000,-,721,Strata,01 to 05,1323,16-Jul
1981,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,871000,-,614,Strata,06 to 10,1420,16-Jul
1982,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1083000,-,818,Strata,16 to 20,1324,16-Jul
1983,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,949000,-,721,Strata,11 to 15,1316,16-Jul
1984,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,849000,-,667,Strata,01 to 05,1272,16-Jul
1985,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1284000,-,926,Strata,06 to 10,1387,16-Jul
1986,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,678000,-,474,Strata,06 to 10,1432,16-Jul
1987,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,808000,-,614,Strata,01 to 05,1317,16-Jul
1988,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,594000,-,409,Strata,16 to 20,1452,16-Jul
1989,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1225000,-,947,Strata,06 to 10,1293,16-Jul
1990,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1763000,-,1302,Strata,06 to 10,1354,16-Jul
1991,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1105000,-,818,Strata,06 to 10,1351,16-Jul
1992,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,572000,-,409,Strata,11 to 15,1398,16-Jul
1993,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,808000,-,614,Strata,06 to 10,1317,16-Jul
1994,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1105000,-,818,Strata,06 to 10,1351,16-Jul
1995,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,933000,-,721,Strata,06 to 10,1294,16-Jul
1996,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,919000,-,624,Strata,11 to 15,1472,16-Jul
1997,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,793000,-,614,Strata,01 to 05,1292,16-Jul
1998,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1745825,1738000,1302,Strata,11 to 15,1334,16-Jul
1999,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,902000,-,624,Strata,11 to 15,1445,16-Jul
2000,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,1320000,-,797,Strata,31 to 35,1657,16-Jul
2001,FAR HORIZON GARDENS,ANG MO KIO AVENUE 9,Condominium,20,OCR,99 yrs lease commencing from 1982,Resale,1,1110000,-,1389,Strata,06 to 10,799,16-Jul
2002,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,1166300,-,678,Strata,31 to 35,1720,16-Jul
2003,FLORAVIEW,ANG MO KIO STREET 66,Apartment,20,OCR,Freehold,New Sale,1,1217300,-,1023,Strata,01 to 05,1190,16-Jul
2004,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,742000,-,517,Strata,16 to 20,1436,16-Jul
2005,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1569000,-,1152,Strata,06 to 10,1362,16-Jul
2006,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,800000,-,614,Strata,01 to 05,1304,16-Jul
2007,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1676684,1666684,1302,Strata,01 to 05,1280,16-Jul
2008,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,907000,-,614,Strata,11 to 15,1478,16-Jul
2009,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1718937,1708937,1302,Strata,11 to 15,1312,16-Jul
2010,IVORY HEIGHTS,JURONG EAST STREET 13,Condominium,22,OCR,100 yrs lease commencing from 1986,Resale,1,1220000,-,1701,Strata,21 to 25,717,16-Jul
2011,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,656000,-,474,Strata,06 to 10,1385,16-Jul
