"URBAN REDEVELOPMENT AUTHORITY - RENTAL CONTRACTS OF PRIVATE RESIDENTIAL PROPERTIES"

"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq m)","Lease Commencement Date"
"256","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2200","110 to 120","Aug-2017"
"257","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3300","100 to 110","Aug-2017"
"258","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","120 to 130","Aug-2017"
"259","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","120 to 130","Aug-2017"
"260","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2800","130 to 140","Aug-2017"
"261","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2500","110 to 120","Aug-2017"
"262","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2200","120 to 130","Aug-2017"
"263","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","1900","90 to 100","Aug-2017"
"264","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Aug-2017"
"265","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Aug-2017"
"266","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2200","120 to 130","Aug-2017"
"267","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2800","110 to 120","Aug-2017"
"268","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Aug-2017"
"269","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Aug-2017"
"270","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3200","130 to 140","Aug-2017"
"271","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Aug-2017"
"272","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2600","110 to 120","Aug-2017"
"273","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Aug-2017"
"274","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3700","120 to 130","Aug-2017"
"275","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","130 to 140","Aug-2017"
"276","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Aug-2017"
"277","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","120 to 130","Aug-2017"
"278","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Aug-2017"
"279","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3200","120 to 130","Aug-2017"
"280","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Aug-2017"
"281","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","Aug-2017"
"282","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Aug-2017"
"283","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3200","110 to 120","Jul-2017"
"284","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2450","120 to 130","Jul-2017"
"285","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Jul-2017"
"286","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3000","100 to 110","Jul-2017"
"287","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2400","100 to 110","Jul-2017"
"288","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2350","110 to 120","Jul-2017"
"289","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Jul-2017"
"290","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2000","90 to 100","Jul-2017"
"291","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","120 to 130","Jul-2017"
"292","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3100","190 to 200","Jul-2017"
"293","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2300","100 to 110","Jul-2017"
"294","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","130 to 140","Jul-2017"
"295","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2300","100 to 110","Jul-2017"
"296","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2200","110 to 120","Jul-2017"
"297","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3200","120 to 130","Jul-2017"
"298","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3700","120 to 130","Jul-2017"
"299","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2050","120 to 130","Jul-2017"
"300","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3700","120 to 130","Jul-2017"
"301","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","120 to 130","Jul-2017"
"302","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2750","130 to 140","Jul-2017"
"303","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2200","110 to 120","Jul-2017"
"304","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Jul-2017"
"305","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Jul-2017"
"306","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2200","110 to 120","Jul-2017"
"307","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2500","110 to 120","Jul-2017"
"308","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","100 to 110","Jul-2017"
"309","TWIN FOUNTAINS","WOODLANDS AVENUE 6","25","Executive Condominium","4","3750","130 to 140","Jul-2017"
"310","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3200","110 to 120","Jul-2017"
"311","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2800","130 to 140","Jul-2017"
"312","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","Jul-2017"
"313","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Jul-2017"
"314","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","110 to 120","Jul-2017"
"315","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Jul-2017"
"316","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2350","100 to 110","Jul-2017"
"317","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2650","110 to 120","Jul-2017"
"318","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3700","120 to 130","Jul-2017"
"319","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2350","110 to 120","Jul-2017"
"320","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Jul-2017"
"321","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","110 to 120","Jul-2017"
"322","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","110 to 120","Jul-2017"
"323","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2600","130 to 140","Jul-2017"
"324","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","1700","130 to 140","Jul-2017"
"325","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Jul-2017"
"326","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","130 to 140","Jul-2017"
"327","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Jul-2017"
"328","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2700","110 to 120","Jul-2017"
"329","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2650","120 to 130","Jul-2017"
"330","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Jul-2017"
"331","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3500","120 to 130","Jul-2017"
"332","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Jul-2017"
"333","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Jul-2017"
"334","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2200","110 to 120","Jul-2017"
"335","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Jul-2017"
"336","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3100","110 to 120","Jul-2017"
"337","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2700","130 to 140","Jul-2017"
"338","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2350","110 to 120","Jul-2017"
"339","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","130 to 140","Jul-2017"
"340","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Jun-2017"
"341","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Jun-2017"
"342","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2600","110 to 120","Jun-2017"
"343","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2400","110 to 120","Jun-2017"
"344","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3800","120 to 130","Jun-2017"
"345","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3000","100 to 110","Jun-2017"
"346","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","130 to 140","Jun-2017"
"347","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2600","100 to 110","Jun-2017"
"348","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Jun-2017"
"349","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2200","100 to 110","Jun-2017"
"350","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2430","110 to 120","Jun-2017"
"351","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2390","120 to 130","Jun-2017"
"352","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2550","110 to 120","Jun-2017"
"353","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2750","110 to 120","Jun-2017"
"354","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2450","110 to 120","Jun-2017"
"355","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Jun-2017"
"356","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Jun-2017"
"357","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Jun-2017"
"358","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Jun-2017"
"359","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Jun-2017"
"360","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","120 to 130","Jun-2017"
"361","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3150","110 to 120","Jun-2017"
"362","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","130 to 140","Jun-2017"
"363","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Jun-2017"
"364","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","150 to 160","Jun-2017"
"365","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3400","100 to 110","Jun-2017"
"366","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","Jun-2017"
"367","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2850","100 to 110","Jun-2017"
"368","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","May-2017"
"369","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","110 to 120","May-2017"
"370","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3200","120 to 130","May-2017"
"371","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2250","100 to 110","May-2017"
"372","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2690","100 to 110","May-2017"
"373","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","110 to 120","May-2017"
"374","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2600","120 to 130","May-2017"
"375","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2000","80 to 90","May-2017"
"376","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","3300","210 to 220","May-2017"
"377","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","130 to 140","May-2017"
"378","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","120 to 130","May-2017"
"379","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","May-2017"
"380","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3300","180 to 190","May-2017"
"381","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2650","110 to 120","May-2017"
"382","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","120 to 130","May-2017"
"383","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","6380","180 to 190","May-2017"
"384","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3100","150 to 160","May-2017"
"385","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","May-2017"
"386","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","May-2017"
"387","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3200","110 to 120","May-2017"
"388","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3400","200 to 210","May-2017"
"389","TWIN FOUNTAINS","WOODLANDS AVENUE 6","25","Executive Condominium","4","1400","130 to 140","May-2017"
"390","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2250","110 to 120","May-2017"
"391","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","May-2017"
"392","FORESTVILLE","WOODLANDS DRIVE 16","25","Executive Condominium","3","1450","120 to 130","May-2017"
"393","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2600","100 to 110","May-2017"
"394","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2000","80 to 90","May-2017"
"395","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2200","100 to 110","May-2017"
"396","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","120 to 130","May-2017"
"397","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2500","100 to 110","May-2017"
"398","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2300","110 to 120","May-2017"
"399","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2200","90 to 100","May-2017"
"400","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3800","130 to 140","May-2017"
"401","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3100","100 to 110","May-2017"
"402","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2450","120 to 130","May-2017"
"403","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","May-2017"
"404","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","May-2017"
"405","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","May-2017"
"406","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2850","120 to 130","May-2017"
"407","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2450","120 to 130","May-2017"
"408","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2300","120 to 130","May-2017"
"409","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","110 to 120","May-2017"
"410","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","May-2017"
"411","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","May-2017"
"412","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3250","130 to 140","Apr-2017"
"413","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","110 to 120","Apr-2017"
"414","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2050","90 to 100","Apr-2017"
"415","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Apr-2017"
"416","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3700","130 to 140","Apr-2017"
"417","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2800","120 to 130","Apr-2017"
"418","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","4","3400","140 to 150","Apr-2017"
"419","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","130 to 140","Apr-2017"
"420","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","130 to 140","Apr-2017"
"421","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Apr-2017"
"422","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3750","120 to 130","Apr-2017"
"423","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2600","110 to 120","Apr-2017"
"424","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","120 to 130","Apr-2017"
"425","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2380","120 to 130","Apr-2017"
"426","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2650","160 to 170","Apr-2017"
"427","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Apr-2017"
"428","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","120 to 130","Apr-2017"
"429","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","130 to 140","Apr-2017"
"430","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2100","90 to 100","Apr-2017"
"431","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2600","100 to 110","Apr-2017"
"432","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2910","120 to 130","Apr-2017"
"433","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","Apr-2017"
"434","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2750","120 to 130","Apr-2017"
"435","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","120 to 130","Apr-2017"
"436","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Apr-2017"
"437","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2650","110 to 120","Apr-2017"
"438","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2600","110 to 120","Apr-2017"
"439","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2550","110 to 120","Apr-2017"
"440","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","120 to 130","Apr-2017"
"441","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2250","120 to 130","Apr-2017"
"442","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2850","110 to 120","Apr-2017"
"443","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","120 to 130","Apr-2017"
"444","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","Apr-2017"
"445","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Mar-2017"
"446","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","120 to 130","Mar-2017"
"447","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","160 to 170","Mar-2017"
"448","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2650","110 to 120","Mar-2017"
"449","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2900","110 to 120","Mar-2017"
"450","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","4","2700","110 to 120","Mar-2017"
"451","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","100 to 110","Mar-2017"
"452","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3800","120 to 130","Mar-2017"
"453","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Mar-2017"
"454","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2900","110 to 120","Mar-2017"
"455","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Mar-2017"
"456","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2450","110 to 120","Mar-2017"
"457","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2530","110 to 120","Mar-2017"
"458","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2750","110 to 120","Mar-2017"
"459","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","120 to 130","Mar-2017"
"460","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3200","120 to 130","Mar-2017"
"461","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3200","110 to 120","Mar-2017"
"462","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2250","120 to 130","Mar-2017"
"463","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2550","120 to 130","Mar-2017"
"464","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","3500","210 to 220","Mar-2017"
"465","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3000","120 to 130","Mar-2017"
"466","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Mar-2017"
"467","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2300","100 to 110","Mar-2017"
"468","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2700","110 to 120","Mar-2017"
"469","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2750","120 to 130","Mar-2017"
"470","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Mar-2017"
"471","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","120 to 130","Mar-2017"
"472","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","110 to 120","Mar-2017"
"473","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","120 to 130","Mar-2017"
"474","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2600","100 to 110","Mar-2017"
"475","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2980","130 to 140","Mar-2017"
"476","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2350","110 to 120","Mar-2017"
"477","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","1000","120 to 130","Mar-2017"
"478","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Mar-2017"
"479","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Mar-2017"
"480","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Mar-2017"
"481","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","130 to 140","Mar-2017"
"482","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2200","110 to 120","Mar-2017"
"483","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2800","110 to 120","Mar-2017"
"484","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2350","120 to 130","Mar-2017"
"485","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Mar-2017"
"486","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4500","130 to 140","Mar-2017"
"487","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2950","120 to 130","Mar-2017"
"488","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","110 to 120","Mar-2017"
"489","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Mar-2017"
"490","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2250","110 to 120","Mar-2017"
"491","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","110 to 120","Mar-2017"
"492","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3100","130 to 140","Mar-2017"
"493","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2400","100 to 110","Mar-2017"
"494","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Mar-2017"
"495","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3900","130 to 140","Mar-2017"
"496","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Mar-2017"
"497","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Mar-2017"
"498","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Feb-2017"
"499","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","110 to 120","Feb-2017"
"500","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Feb-2017"
"501","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","110 to 120","Feb-2017"
"502","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","130 to 140","Feb-2017"
"503","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Feb-2017"
"504","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2300","100 to 110","Feb-2017"
"505","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3000","120 to 130","Feb-2017"
"506","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","110 to 120","Feb-2017"
"507","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","Feb-2017"
"508","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","110 to 120","Feb-2017"
"509","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Feb-2017"
"510","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Feb-2017"
"511","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","120 to 130","Feb-2017"
"512","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2100","90 to 100","Feb-2017"
